100024370	 22 19546277 475524030 887259241 1059530150 19651092 14886375 203652149 53215424 913175707 7517052 331677065 624413 250362250 14626496 44060322 97334517 19739279 271211220 8524892 2705052577 24410456 3108351
1000341984	 5 7492172 2174745661 25738286 21850998 26398257
100051020	 1 3108351
100053816	 1 44653187
1000798291	 4 20562637 15754281 91478624 3108351
100082185	 21 26574283 5943622 20562637 2195241 19478716 7380362 15227849 73194395 1671133790 16717239 294176860 36740214 243318995 4828981 39099783 15823646 19674395 34392584 94274445 3108351 25709609
1001192245	 28 47247213 14370402 634202435 2235441500 23633168 14886375 27162339 1077398336 262763182 28571999 18899842 78563470 4029531 14173032 15485461 8841372 38448277 16456226 2795789015 19079480 15930061 16400258 15896829 2678090893 108021761 82142636 30684067 553658449
10012092	 42 7184612 120242824 30043148 1565751108 254136706 15158441 15485461 26819104 147666931 164425558 468703129 16397306 2720373876 13400562 15227849 114782468 3108351 6193182 18223590 16246929 858051 818071 15705567 770550 385113243 163537857 24266406 61292961 118854485 151191872 16099291 8834882 73194395 25709609 5943622 19040598 16598957 14370402 14886375 216798259 8962882 38502647
1002076662	 2 1297336626 257354839
100247371	 2 91478624 5943622
100247850	 3 227682918 243318995 3108351
100258014	 24 413704957 181187043 49138823 247946309 19546277 181131292 16184358 16827489 22510558 19478383 284335003 400784846 260380754 54594436 323485909 15897179 27618790 177239631 84444981 44171091 28140646 108021761 48839691 244175308
1003060356	 0
1003081699	 0
1003088551	 141 1228116126 37718217 326315947 16515274 397230151 2932907118 2796938558 2462455410 1475988331 627580581 473501808 2694624362 2440753004 166597717 983655260 19546277 2364889134 62562916 2396930972 3005559517 475524030 862105645 72928001 16732770 1092564138 106498703 60705191 2231913055 2196092280 172836249 72907355 16827489 289556231 272125054 52126417 1958752610 2788588083 114782468 26705006 20449296 266799789 236621887 1711713978 27922928 70498392 61342056 17780244 1393603976 16295834 2341281566 15897179 634202435 2447901655 413704957 29737876 2825270328 2982013384 3012483408 107146393 2275337142 39264827 64888916 430841130 100024370 17991579 23059499 2484513824 553658449 263197731 966726223 19739279 2341445778 947043115 455824771 49663664 2799004307 2286097290 126640430 2216333869 39853973 2998925995 37469211 30818980 624413 450381355 57849762 2357365764 184881902 237591901 18560146 2149877280 555296885 2348716116 21328656 2790408925 404422077 2956577273 2574112584 148268103 989646270 20562637 820031509 1499852552 91478624 2445064535 23772501 2334614718 2159322464 375980238 14292717 15281391 14886375 1297336626 53215424 2743641378 517168840 517392967 82142636 1923947209 528770977 2565400531 284335003 84402174 44060322 3108351 22814481 203652149 3048189131 2274875012 565969885 20402945 569542024 176168308 28140646 61216389 84444981 122134262 790062926 106504911 121158213 271211220
